# 	Id 	Name 		Nat 	Glider 	Sponsor 	T 1 	T 2 	T 3 	T 4 	T 5 	T 6 	Total
1 	51 	Russell Ogden 	M 	GBR 	Ozone Enzo 3 	Ozone 	975.8 	512.0/832.0 	608.6 	838.1 	1000.0 	1000.0 	3959
37 	325 	Cody Mittanck 	M 	USA 	Gin Boom 12 Large 		927.3 	821.4 	562.4 	32.4 	994.6 	90.6/173.7 	3396
38 	1 	Bill Belcourt 	M 	USA 	Ozone Zeno 2 m/l 	Ozone, Flytec, TAKA 	630.5 	358.4/582.5 	560.3 	801.1 	949.2 	715.4 	3384
39 	118 	Kristopher Holub 	M 	USA 	Flow XC Racer 2 115 		831.5 	741.6 	202.1/434.6 	667.2 	46.5 	932.5 	3375
40 	259 	Owen Shoemaker 	M 	USA 	Ozone Zeno 2 ML 	Northwest Paragliding 	774.1 	812.8 	576.3 	29.5 	240.9/461.8 	960.1 	3364
41 	1535 	Fabian Andre 	M 	USA 	Ozone Zeno2 L 	dolcevitads.com 	475.2/704.6 	708.4 	526.0 	761.5 	606.3 	861.2 	3332
42 	1111 	Enes Mentese 	M 	USA 	Ozone Zeno 2 MS 	Penguin Paragliding, Free Flight Labs, Mentese Labs 	796.2 	668.8 	0.0 	774.9 	167.5/591.9 	902.2 	3310
43 	69 	Nate Scales 	M 	USA 	ozone photon L 		210.0/742.1 	764.3 	412.5 	715.7 	823.4 	795.2 	3309
44 	5368 	Brian Fletcher 	M 	USA 	Ozone Zeno 2 ml 		763.0 	393.4/639.3 	542.3 	643.6 	600.0 	915.0 	3257
45 	314 	Jason Wallace 	M 	USA 	Ozone Zeno ML 	Ross Desmond 	322.6/618.3 	677.4 	540.3 	464.6 	939.7 	771.6 	3252
46 	8118 	Trevor MacMurray 	M 	CAN 	Ozone Zeno2 L 		858.1 	721.6 	443.9 	277.8/451.1 	62.8 	917.5 	3219
47 	333 	Tyler Burns 	M 	USA 	Ozone ZeoliteGT MS 	CUASA 	787.0 	724.8 	531.5 	489.4 	331.5/635.3 	791.2 	3166
48 	42 	Korey Curtis 	M 	USA 	Ozone Zeno 2 L 	SuperFly 	804.4 	708.6 	540.5 	64.8 	158.8/304.3 	915.5 	3128
49 	411 	Jenny ONeil 	F 	USA 	Ozone Zeno 2 ms 		747.6 	793.9 	546.7 	291.1/472.8 	79.4 	727.2 	3106
50 	913 	Jay Cady 	M 	USA 	Ozone Enzo 3 M 	ProgressionParagliding.com/ Alive and Well 	850.6 	790.4 	549.5 	80.0 	71.8/137.6 	835.1 	3097
51 	181 	Schuyler Heath 	M 	USA 	Ozone Zeno 2 ML 		721.8 	775.4 	533.0 	33.3 	134.1/257.0 	890.3 	3055
52 	174 	Mark Simpson 	M 	USA 	Ozone Zeno 2 M 		817.7 	236.2/383.9 	492.8 	566.9 	202.4 	907.0 	3021
53 	77 	William DeLey 	M 	USA 	Ozone Zeno 2 L 		710.8 	350.9/570.2 	527.4 	585.2 	25.0 	833.3 	3008
54 	72 	Igor Tolsky 	M 	CAN 	Ozone Zeno 2 L 	Airquest paragliding 	663.1 	729.7 	497.0 	24.5 	222.3/426.0 	889.8 	3002
55 	117 	Chaeden Luebberke 	M 		Ozone Zeno 2 L 		101.3/194.2 	683.5 	546.5 	43.1 	850.5 	784.2 	2966
56 	2222 	Andrew Byron 	M 	USA 	Ozone Zeno 2 M/L 	OTB, L/D 	647.5 	742.7 	477.3 	294.0/477.4 	340.4 	775.5 	2937
57 	9876 	Rob Curran 	M 	USA 	Ozone Zeno 2 L 	Bozeman Paragliding 	749.5 	769.6 	522.8 	599.0 	292.9/434.3 	37.6 	2934
58 	130 	Andrey Kuznetsov 	M 	USA 	Gin Boomerang 12 SM 	AirQuest Paragliding 	696.8 	604.1 	528.8 	354.5/575.8 	278.4 	727.4 	2912
59 	107 	Frank Henriquez 	M 	USA 	Gin Boomerang 12 		704.4 	724.9 	501.6 	76.7 	104.8/200.9 	867.1 	2903
60 	502 	Sebrand warren 	M 	USA 	Ozone Zeno 2 Ml 		736.2 	556.5 	530.2 	283.1/459.7 	446.0 	755.0 	2861
61 	7360 	Brett Yeates 	M 	CAN 	Ozone Zeno 2 		679.3 	659.2 	530.3 	288.5/468.5 	23.4 	699.0 	2856
62 	919 	Bill Lemon 	M 	USA 	Ozone Photon 	None 	714.4 	574.4 	430.4 	488.2 	307.2/588.8 	819.0 	2845
63 	122 	Andrey Shedel 	M 	USA 	Ozone Zeno2 MS 	AirQuest Paragliding 	503.7 	580.8 	477.9 	552.1 	358.5/531.6 	852.6 	2822
64 	5691 	Brad Hauge 	M 	USA 	UP Zeno 2 M 	Bozeman Paragliding 	688.0 	570.0 	541.1 	41.2 	78.2/149.8 	910.6 	2788
65 	17 	Mike Steed 	M 	USA 	Flow XCRacer2 L 	Flow, Eagle Paragliding 	685.8 	163.4/375.6 	529.5 	55.5 	560.5 	847.4 	2787
66 	8255 	Subir Sidhu 	M 	USA 	Ozone Zeno 2 ML 	Northwest Paragliding 	199.6/295.9 	790.6 	540.7 	277.4 	53.5 	918.5 	2727
67 	45 	andrey yakimov 	M 	USA 	Ozone Zeno 2 ML 	Muppets, AirQuest Paragliding 	734.5 	617.5 	422.9 	36.9/59.9 	50.2 	901.9 	2714
68 	65 	Todd Gray 	M 	USA 	Ozone Zeno 2 L 		598.1 	670.9 	122.8/264.1 	387.4 	19.5 	902.7 	2682
69 	39 	Dora Goksal 	M 	TUR 	Gin Boomerang 12 M 		899.3 	65.8/151.2 	528.6 	24.5 	972.6 	214.1 	2680
70 	9960 	Alex Leone 	M 	USA 	Ozone Zeno 2 	Claire 	846.1 	422.9 	523.7 	576.0 	40.4 	300.2/445.1 	2669
71 	53 	Andrew Rayhill 	M 	USA 	Ozone Zeno 2 L 	FullBar Paragliding 	737.2 	579.5 	543.6 	55.9 	209.7/402.0 	592.9 	2663
72 	713 	Joshua Phillips 	M 	USA 	Gin Boomerang 12 M 	Superfly Paragliding, Alas del Hombre 	750.6 	680.0 	536.0 	49.6/80.5 	625.5 	18.8 	2642
73 	5 	Len Szafaryn 	M 	USA 	Ozone Photon S 	Ozone - Flytec USA 	632.2 	602.2 	481.5 	15.1/24.5 	24.7 	887.4 	2618
74 	558 	Philip Massoud 	M 	USA 	Niviuk Artic R 		611.2 	595.1 	486.2 	294.0/477.5 	19.9 	618.5 	2605
75 	91 	Edson Zardo 	M 	BRA 	Gin Leopard M 	Alessandra 	663.3 	747.5 	407.7 	0.0 	15.3/29.3 	739.1 	2573
76 	1845 	Kurt Niznik 	M 	USA 	Ozone Photon XL 		188.1 	583.5 	490.2 	496.3 	241.3/357.8 	743.4 	2555
77 	4713 	louis coulombe 	M 	USA 	Ozone Photon 	N/A 	693.7 	587.6 	467.7 	212.7/345.5 	22.2 	539.7 	2501
78 	231 	Jeff Seals 	M 	USA 	Ozone Photon ML 	I wish 	630.5 	576.8 	514.6 	24.5 	222.1/425.7 	525.7 	2470
79 	1235 	CJ Jessett 	M 	USA 	Ozone Photon MS 		735.3 	376.8 	480.5 	34.4/55.8 	48.0 	842.0 	2469
80 	88 	Brian Kaiserauer 	M 	USA 	Gin Boomerang 12 		635.9 	504.7 	533.6 	37.7/61.3 	41.6 	748.2 	2460
81 	36 	Bianca Heinrich 	F 	USA 	Ozone Zeno 2 MS 	Bozeman Paragliding 	641.1 	578.6 	433.4 	24.5 	24.5/47.0 	775.1 	2453
82 	2332 	Benny Cochran 	M 	USA 	Ozone Zeno ml 	Bozeman Paragliding 	648.4 	565.3 	507.1 	33.7 	211.9/406.1 	508.1 	2441
83 	188 	Jack Diaz 	M 	USA 	Niviuk Peak 6 	Beamer 3 	469.3 	583.9 	534.5 	140.1/227.5 	131.2 	693.1 	2421
84 	43 	Michael Downey 	M 	USA 	Ozone Zeno 2 ML 		526.8 	583.7 	484.8 	142.1/230.7 	134.7 	681.2 	2419
85 	111 	Russ Detwiler 	M 	USA 	Ozone Mantra M7 L 		650.9 	573.0 	499.0 	76.7 	110.4/211.6 	584.7 	2418
86 	234 	Fujiaki Fumishi 	M 	JPN 	OZONE Zeno2 MS 		558.8 	545.5 	22.2/47.8 	442.2 	23.3 	840.5 	2409
87 	979 	Dylan Brown 	M 	USA 	Ozone Alpina 4 L 		704.6 	596.1 	425.9 	24.5 	27.6/52.9 	534.3 	2288
88 	9671 	Marc Collins 	M 	USA 	Ozone Photon 	Sirensong Wetsuits 	520.3 	573.1 	538.2 	44.9 	32.0/61.3 	620.0 	2284
89 	270 	TOSHIHIKO UJITA 	M 	JPN 	Ozone Photon L 	self 	664.6 	586.4 	464.6 	30.5/49.5 	488.9 	33.9 	2235
90 	360 	Steven Nichols 	M 	USA 	Ozone Delta 4 Small 		605.8 	515.7 	477.7 	100.9/163.9 	134.9 	471.1 	2171
91 	319 	Brian Duffy 	M 	USA 	Ozone Photon XL 	SIVClinic.com, Tough Ass 	511.7 	336.3 	22.2/47.8 	448.4 	68.9 	848.1 	2167
92 	1010 	Oleksiy Buynytskyy 	M 	USA 	Ozone Enzo3 L 	AirQuest Paragliding 	798.6 	652.2 	68.6 	49.0/79.6 	30.4 	560.2 	2129
93 	666 	Dennis Canty 	M 	USA 	Ozone Zeno 2 		659.6 	512.7 	271.9 	399.0 	24.0 	243.5/361.0 	2087
94 	208 	Andrew Dahl 	M 	USA 	Ozone Zeno 2 MS 	Boise Paragliding 	717.4 	735.4 	535.6 	72.5 	13.2/19.5 	0.0 	2074
95 	303 	Sam Crocker 	M 	USA 	Ozone Zeno 2 m/s 	Sundog Paragliding 	446.8 	498.3 	425.0 	31.6 	207.6/398.0 	489.4 	2067
96 	25 	Alejandro Albornoz 	M 	VEN 	Ozone Zeno 2 SM 	Lookout Mountain Flight Park 	27.1 	394.0 	547.0 	259.2 	20.4/30.3 	790.9 	2012
97 	32 	Josiah Brubaker 	M 	USA 	Ozone Alpina 4 ML 		572.1 	584.8 	353.8 	24.5 	18.4/35.2 	472.9 	2002
98 	108 	Kevin Gosden 	M 	AUS 	Flow Fusion Light M 	EG 	545.6 	472.9 	423.6 	15.1/24.5 	19.5 	526.9 	1984
99 	10 	Andres Joandet 	M 	USA 	Gin Gliders B 12 M 	High End Construction Paso Robles CA 	774.0 	590.2 	489.7 	81.1 	30.7/45.5 	38.5 	1966
100 	12 	Nelissa Milfeld 	F 	USA 	Ozone Alpina 4 Small 	None 	568.3 	475.6 	389.5 	24.5 	19.6/37.5 	460.2 	1913
101 	707 	Max Kotchouro 	M 	USA 	Niviuk Klimber 2P 21 	AirQuest Paragliding 	469.7 	476.7 	406.5 	38.9/63.1 	19.5 	516.8 	1909
102 	930 	Subodh Pandey 	M 	NPL 	ozone zeno 2 L 		632.6 	502.8 	33.6/72.3 	362.1 	78.2 	361.0 	1892
103 	888 	Mark Snyder 	M 	USA 	Ozone Z-Alps S 	Bivy Group 	512.1 	466.3 	331.0 	24.5 	117.5/225.2 	455.0 	1882
104 	99 	Justin Andersen 	M 	RSA 	UP Meru ML 	N/A 	516.3 	530.0 	406.7 	24.5 	15.3/29.3 	409.8 	1878
105 	33 	Alexey Gagarin 	M 	USA 	Ozone Mantra M7 MS 	AirQuest Paragliding 	505.2 	341.6 	384.5 	15.1/24.5 	19.5 	614.2 	1861
106 	2020 	Anna Behrens 	F 	USA 	Flow XCRacer 	Calhoun 	439.0 	169.2/275.0 	399.6 	385.0 	19.5 	410.3 	1803
107 	2244 	Evan Cohen 	M 	USA 	Ozone Zeno 2 MS 	Free Flight Lab 	201.2 	578.3 	532.3 	24.5 	24.3/46.5 	424.3 	1760
108 	15 	Yoichi Hayashi 	M 	JPN 	OZONE ZENO2 S 	Alp Inc 	502.6 	16.8/27.3 	360.8 	363.7 	30.2 	462.2 	1706
109 	521 	Stefan Mitrovich 	M 	USA 	OZONE Zeno II 24 	Mafic Arq - BZPG 	640.3 	564.0 	474.0 	0.0 	0.0 	0.0 	1678
110 	420 	Ari Delashmutt 	M 	USA 	Flow XC Racer 2 	Qualia Nootropics, Ari in the Air 	85.6 	620.0 	0.0 	3.8/24.5 	74.1 	864.1 	1648
111 	3 	Patrick Sweeney 	M 	USA 	Ozone Alpina 4 MS 		302.0 	514.3 	495.9 	24.5 	20.3/38.9 	240.9 	1573
112 	941 	Bill Hughes 	M 	USA 	Gin Boomerang 12 M 	Super Fly, flyxc.org 	448.3 	403.1 	411.6 	24.5 	15.1/29.0 	277.8 	1556
113 	2313 	Greg Giacovelli 	M 	USA 	Ozone Photon XL 27m 		180.1 	579.4 	47.8 	15.1/24.5 	24.8 	683.7 	1506
114 	6 	Ismail Abdolahi 	M 	USA 	Niviuk X-One 24 	Vēritās 	22.3/42.7 	276.2 	47.8 	24.5 	101.4 	933.9 	1382
115 	1219 	Lisa Dickinson 	F 	USA 	Advance Sigma 11 23 	Bozeman Paragliding 	0.0 	0.0 	423.0 	365.4 	113.1 	476.6 	1378
115 	717 	Jeffrey Hedlund 	M 	USA 	Ozone Photon 		427.4 	471.1 	399.1 	53.4 	19.5 	27.0/40.0 	1378
117 	987 	Johannes Rath 	M 	USA 	Flow Xc racer 2 S 	Boulder Free Flight 	185.4 	598.5 	77.1 	39.7/64.5 	27.2 	212.4 	1113
118 	500 	Michael Pfau 	M 	USA 	Ozone Alpina 4 Large 		266.5 	405.7 	331.9 	15.1/24.5 	22.5 	40.1 	1059
119 	1234 	Morgan Hollingsworth 	M 	USA 	Ozone Zeno 2 L 	Blue Skies Food Shack 	838.2 	40.6 	60.1 	40.1 	13.2/19.5 	0.0 	992
120 	1211 	Nathan Pohl 	M 	USA 	Ozone Swift 6 ml 		56.4 	482.7 	396.2 	24.5 	19.5 	18.7/27.7 	979
121 	307 	Wade Lippincott 	M 	USA 	Gin Bonanza 3 S 	Atlas 	183.9 	422.1 	294.6 	24.5 	16.5/31.7 	34.0 	951
122 	144 	Michael Vergalla 	M 	USA 	PHI Allegroxalps M 	Free Flight Lab 	515.0 	339.1 	0.0 	24.5 	5.5/19.5 	40.2 	924
123 	318 	Lynsey Haynes 	F 	USA 	Niviuk Artik R S 	none 	299.4 	521.0 	47.8 	15.1/24.5 	19.5 	33.4 	917
124 	7878 	Steven Young 	M 	USA 	Ozone Delta 4 XL 	NCXC 	177.9 	351.4 	323.4 	24.5 	13.2/19.5 	18.8 	890
125 	110 	Alexander Kolesov 	M 	JPN 	BGD Lynx 2 S 		190.8 	324.8 	302.8 	15.1/24.5 	48.6 	25.9 	882
126 	116 	Jeff Sinason 	M 	USA 	Ozone photon M/L 		173.5 	461.2 	47.8 	135.8 	20.5/30.4 	29.9 	839
127 	313 	JK Smith 	M 	USA 	Ozone Photon ML 		680.2 	0.0 	0.0 	0.0 	0.0 	0.0 	680
128 	777 	Chris Amonson 	M 	USA 	Ozone Photon 	Northwest Paragliding 	0.0 	0.0 	0.0 	24.5 	26.0 	465.8 	516
129 	322 	Matt Hoffman 	M 	USA 	Niviuk Icepeak 6 24 		0.0 	377.5 	77.0 	0.0 	0.0 	0.0 	455
130 	927 	Kelly Myrkle 	M 	USA 	Airdesign Volt 4 Small 	Lookout Mountain Flight Park 	27.1 	38.1 	200.0 	47.5 	13.2/19.5 	0.0 	326
131 	4 	Abhi Sarkar 	M 	USA 	Ozone Rush 6 Large 	Bison Vans 	261.1 	0.0 	0.0 	0.0 	0.0 	0.0 	261
132 	561 	Ben Pedersen-Wedlock 	M 	USA 	Flow Spectra ML 	None 	0.0 	27.3 	0.0 	28.7 	19.5 	0.0 	76
